id,label
57382,0
96137,0
43157,0
73851,1
10542,0
79142,0
4973,0
28791,1
98541,1
68743,1
92853,1
48536,0
94365,1
49031,0
95813,0
15327,0
19870,1
97642,1
1735,0
64357,1
37916,0
54316,1
51934,0
29637,1
49873,1
81926,1
98143,0
12367,1
67410,0
18506,0
5827,1
23765,1
10973,0
30476,0
84135,1
60972,0
13574,1
61924,0
36170,0
97651,0
78495,0
74895,1
58407,0
49306,1
76492,1
94051,1
35261,0
14785,0
72645,0
8514,0
18702,0
69702,0
38762,0
25460,1
43950,1
45082,0
21380,0
95203,1
37962,0
87432,1
18953,0
28164,0
59814,1
1723,0
98604,0
27305,0
10537,0
18795,1
32856,0
86572,1
93526,1
98321,1
7642,0
70645,1
72401,0
16803,0
57641,0
26013,1
54260,1
10784,0
43276,0
97615,0
93624,0
9175,1
97624,0
85943,0
98156,0
84973,1
48105,1
3612,1
51926,0
26915,1
49713,0
20316,0
74580,0
12930,0
84730,1
82903,0
58613,1
84750,1
85071,1
26837,0
98013,1
78016,0
86052,0
93284,0
70293,0
92607,1
6154,1
91365,0
97012,1
96057,0
80631,0
45270,0
37950,1
12765,0
47652,0
69820,1
73825,0
87945,0
79160,1
70394,1
58364,1
60574,1
48016,1
83567,1
65372,1
96725,1
9632,1
48160,1
68923,1
85796,1
59763,0
23801,1
68957,0
60783,1
59420,0
27154,0
45163,0
36927,1
71563,1
98015,0
35806,0
87156,0
90275,0
26731,0
27805,1
65107,1
81647,0
37095,0
12065,0
90726,0
59642,1
29645,1
79435,1
79432,1
54187,1
2564,1
72563,1
68915,1
10837,0
69731,1
63082,1
95876,0
83470,1
24301,0
41930,1
2436,0
97263,0
2934,1
51806,0
14582,0
34261,0
98602,1
56810,1
19682,1
5627,0
50284,0
54012,1
73964,0
94861,1
62415,1
41207,0
89345,1
27961,1
27654,0
59063,0
80275,0
91427,0
74365,0
9537,0
58694,1
47210,0
36792,0
4293,0
18792,1
62174,0
3926,1
25896,1
62107,0
20846,1
21597,0
18043,0
94217,0
54287,1
32657,0
13782,1
19780,0
50912,0
29481,0
80546,0
20831,1
7213,0
15302,1
40536,0
81276,1
17934,1
9786,1
34502,1
93045,1
20674,0
